"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG3","qDTY12.1","qSub1","Pita","qPi33","xa5"
"87","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-46 RGA",2022,"WS",25,77,113,3850,NA,NA,51.83,NA,1,-1,-1,1,1,-1
"88","Mid-Early","DSRCP v1","IR16L1453",2022,"WS",25,72,116,4362,78,81,47.9,11.1,NA,-1,-1,NA,1,-1
"89","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-1 RGA",2022,"WS",26,77,114,3557,NA,NA,49.93,NA,1,-1,-1,1,1,-1
"90","Mid-Early","DSRCP v1","IR18R1078",2022,"WS",23,82,109,3848,NA,NA,30.6,14.5,NA,-1,NA,NA,-1,1
"91","Mid-Early","DSRCP v1","IR15A3449",2022,"WS",26,79,113,3937,80,85,48.2,8.2,NA,-1,-1,NA,NA,0
"92","Mid-Early","DSRCP v1","IR15A2619",2022,"WS",26,73,113,4204,79,82,46.9,16.5,NA,-1,NA,NA,1,-1
"93","Mid-early","DSRCP v2","IR17F1073",2022,"WS",24,77,114,3851,80,85,61.9,19.2,-1,1,NA,-1,-1,-1
"94","Early","DSRCP v1","IR17L1099",2022,"WS",28,72,126,3863,79,83,46.2,13.9,1,-1,NA,NA,-1,1
"95","Early","DSRCP v2","IR14D132",2022,"WS",25,76,109,4016,86,88,37.7,9.9,-1,-1,NA,1,-1,-1
"96","Early","DSRCP v1","IR16L1478",2022,"WS",29,76,121,4225,83,88,47.2,8.4,NA,-1,NA,NA,-1,-1
"97","Mid-Early","DSRCP v1","IR18R1061",2022,"WS",23,84,111,3843,73,80,45.4,10.3,NA,-1,NA,NA,NA,1
"98","Mid-Early","DSRCP v1","IR16A1911",2022,"WS",26,78,112,3912,83,88,51.7,15.9,NA,-1,NA,NA,NA,1
"99","Early","DSRCP v1","IR17L1040",2022,"WS",27,76,111,3895,78,81,42.1,10.8,NA,-1,NA,NA,-1,-1
"100","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-49 RGA",2022,"WS",25,76,113,3851,NA,NA,51.65,NA,1,-1,-1,1,1,-1
"101","Early","DSRCP v1","IR18L1177",2022,"WS",26,77,110,4338,84,87,59.9,8.4,NA,-1,NA,NA,-1,1
"102","Early","DSRCP v2","IR14D183",2022,"WS",25,78,118,3973,86,88,40.6,14.9,1,-1,NA,-1,-1,-1
"103","Mid-Early","DSRCP v1","IR19L1012",2022,"WS",27,78,112,3917,76,81,47.9,11.3,NA,0,NA,NA,NA,-1
"104","Mid-Early","DSRCP v1","IR17D1088",2022,"WS",26,79,110,4110,79,82,46.2,17.5,NA,1,1,NA,-1,-1
"105","Early","DSRCP v2","IR 111940-B-B-14-1-2-3",2022,"WS",23,78,114,3702,85,89,46.8,16.9,0,-1,NA,1,-1,-1
"106","Early","DSRCP v1","IR12M112",2022,"WS",23,78,106,3800,75,79,55,10.8,NA,-1,NA,NA,-1,1
"107","Early","DSRCP v4","IR 131081-B-B-B-B-B-B-25 RGA",2022,"WS",25,75,112,3815,NA,NA,53.22,NA,1,-1,-1,1,1,-1
"108","Early","DSRCP v1","IRRI 200",2022,"WS",27,74,115,3959,74,83,50.6,13.4,NA,-1,NA,NA,-1,1
"109","Early","DSRCP v2","IR 111940-B-B-13-2-2-1",2022,"WS",24,76,115,3819,84,87,39.6,22.8,NA,-1,NA,1,NA,-1
"110","Early","DSRCP v2","IR 111940-B-B-13-2-3-1",2022,"WS",25,75,112,3831,NA,NA,49.9,22.4,-1,-1,NA,1,-1,-1
"111","Mid-Early","DSRCP v4","IR 122420-B-B-1-3-2 RGA",2022,"WS",26,75,109,3894,NA,NA,56.62,NA,1,1,NA,-1,NA,-1
"112","Early","DSRCP v1","IR13L188",2022,"WS",28,70,104,4132,76,80,42.6,9.1,-1,1,NA,NA,NA,-1
