"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","BPH32","STV11"
"207","Mid-Early","DSRCP v1","IR19L1054",2022,"WS",27,77,119,3910,79,82,54,15.2,-1,NA,-1,-1,NA,-1,1,1
"208","mid-early","DSRCP v5","IR 97181-35-1-B RGA-1 RGA",2022,"WS",25,78,112,4015,NA,97,53.71,NA,-1,-1,-1,-1,1,-1,-1,-1
"209","Early","DSRCP v3","IR18A1758",2022,"WS",25,68,116,3885,NA,96,64.5,9.3,-1,NA,-1,-1,1,1,1,1
"210","Early","DSRCP v3","IR17A3148",2022,"WS",25,76,109,3950,NA,88,64.2,10.5,-1,1,-1,-1,1,1,1,1
"211","Early","DSRCP v3","IR17A3152",2022,"WS",24,75,103,3661,NA,98,60.3,8.8,-1,-1,-1,-1,1,1,1,1
"212","Early","DSRCP v3","IR18A1808",2022,"WS",25,70,116,3859,NA,101,61.9,9.4,-1,1,-1,-1,1,1,1,1
"213","Mid-early","DSRCP v3","IR 97212-10-1-2-1",2022,"WS",26,76,112,3993,NA,92,67,18.6,-1,1,-1,-1,1,-1,-1,1
"214","Early","DSRCP v3","IR17A2955",2022,"WS",25,73,112,3930,NA,86,61.1,13.9,-1,1,-1,-1,1,-1,1,-1
"215","Early","DSRCP v3","IR18A1746",2022,"WS",25,69,117,3878,NA,98,61.2,12.6,-1,-1,-1,-1,1,1,1,1
"216","Mid-early","DSRCP v3","IR 127155-1-3-4-1-B-B",2022,"WS",25,78,111,3785,NA,95,56.7,10.2,-1,-1,1,1,1,-1,1,1
"217","Early","DSRCP v3","IR17A1608",2022,"WS",24,75,114,3986,NA,104,65.6,12,NA,NA,1,NA,1,1,1,1
"218","Mid-early","DSRCP v3","IR 127152-3-22-45-1-B-B",2022,"WS",25,77,113,3749,NA,96,57.9,8.7,NA,-1,-1,-1,1,-1,1,1
"219","early","DSRCP v5","IR 99243-49-2-B RGA-B RGA-1 RGA",2022,"WS",26,74,110,3541,NA,96,59.75,NA,-1,0,-1,-1,1,-1,1,1
"220","Early","DSRCP v3","IR18A1175",2022,"WS",25,77,110,3845,NA,97,59.2,12.2,-1,-1,-1,-1,1,1,1,1
"221","Mid-early","DSRCP v3","IR 127165-1-27-2-1-B-B",2022,"WS",24,74,115,3804,NA,96,65.7,7.7,NA,-1,-1,-1,1,-1,1,1
"222","Mid-early","DSRCP v3","IR 97184-92-3-3-3",2022,"WS",24,82,110,3870,NA,93,66.5,18.6,-1,-1,-1,-1,1,1,1,1
"223","Mid-Early","DSRCP v4","IR 116695-B-B-7-3-3 RGA",2022,"WS",23,78,118,3880,NA,NA,52.9,NA,NA,-1,1,NA,-1,-1,-1,1
"224","Early","DSRCP v4","IR 122407-B-B-14-1-1 RGA",2022,"WS",25,82,113,3852,NA,NA,57.48,NA,NA,-1,1,NA,-1,-1,1,1
"225","Mid-Early","DSRCP v4","IR 116692-B-B-4-1-1 RGA",2022,"WS",24,78,106,3858,NA,NA,52.89,NA,NA,-1,-1,NA,1,-1,NA,1
"226","Mid-Early","DSRCP v4","IR 116687-B-B-22-3-5 RGA",2022,"WS",24,76,112,3900,NA,NA,52.22,NA,NA,-1,-1,NA,1,-1,1,1
"227","Early","DSRCP v4","IR 131095-B-B-B-B-B-B-26 RGA",2022,"WS",25,74,117,3851,NA,NA,53.61,NA,NA,0,-1,NA,1,0,0,1
"228","Early","DSRCP v4","IR 116687-B-B-4-2-4 RGA",2022,"WS",25,72,116,3869,NA,NA,53.88,NA,NA,1,1,NA,-1,-1,1,1
"229","Mid-Early","DSRCP v4","IR 122420-B-B-1-1-1 RGA",2022,"WS",26,75,109,3877,NA,NA,57.12,NA,NA,1,1,NA,-1,-1,1,1
"230","Early","DSRCP v4","IR 116687-B-B-22-2-5 RGA",2022,"WS",24,75,111,3932,NA,NA,54.18,NA,NA,-1,-1,NA,1,-1,1,1
"231","Mid-Early","DSRCP v4","IR 116695-B-B-30-1-4 RGA",2022,"WS",23,77,115,3882,NA,NA,49.89,NA,NA,-1,-1,NA,1,-1,-1,1
"232","Mid-Early","DSRCP v4","IR 116687-B-B-4-2-2 RGA",2022,"WS",25,71,115,3869,NA,NA,54.95,NA,NA,1,1,NA,-1,-1,1,1
"233","","DSRCP v6","IR 137194-30-1-B RGA-B RGA-5",2022,"WS",27,77,110,3926,NA,NA,60.4,NA,NA,1,1,-1,-1,-1,1,1
"234","","DSRCP v6","IR 137194-30-1-B RGA-B RGA-1",2022,"WS",26,77,110,3951,NA,NA,58.81,NA,NA,1,1,-1,-1,-1,1,1
"235","","DSRCP v6","IR 137193-60-2-B RGA-B RGA-2",2022,"WS",27,77,108,3910,NA,NA,59.26,NA,NA,1,1,-1,-1,-1,1,1
"236","","DSRCP v6","IR 137479-3-1-B RGA-B RGA-4",2022,"WS",26,77,108,3951,NA,NA,57.28,NA,NA,1,1,-1,-1,-1,1,1
"237","","DSRCP v6","IR 137479-3-2-B RGA-B RGA-1",2022,"WS",27,77,109,3957,NA,NA,59.06,NA,NA,1,1,-1,-1,-1,1,1
"238","","DSRCP v6","IR 139099-12-2-B RGA-B RGA-2",2022,"WS",26,79,116,3928,NA,NA,55.95,NA,NA,1,-1,-1,1,-1,1,1
"239","","DSRCP v6","IR 139101-28-2-B RGA-B RGA-1",2022,"WS",26,77,109,3880,NA,NA,57.87,NA,NA,1,1,-1,-1,-1,1,1
"240","","DSRCP v6","IR 139110-18-2-B RGA-B RGA-1",2022,"WS",26,79,113,3874,NA,NA,59.12,NA,NA,1,1,-1,-1,-1,1,1
"241","","DSRCP v6","IR 139124-6-1-B RGA-B RGA-3",2022,"WS",25,80,110,3954,NA,NA,54.24,NA,NA,1,1,-1,-1,-1,1,1
"242","","DSRCP v6","IR 139127-5-2-B RGA-B RGA-4",2022,"WS",26,78,109,3904,NA,NA,58.96,NA,NA,1,1,-1,-1,-1,1,1
"243","","DSRCP v6","IR 139127-6-1-B RGA-B RGA-5",2022,"WS",26,80,113,3920,NA,NA,58.39,NA,NA,1,1,-1,-1,-1,1,1
"244","","DSRCP v6","IR 139127-6-2-B RGA-B RGA-5",2022,"WS",26,78,114,3906,NA,NA,59.05,NA,NA,NA,1,-1,-1,-1,1,1
"245","","DSRCP v6","IR 139127-10-1-B RGA-B RGA-2",2022,"WS",27,77,108,3893,NA,NA,57.42,NA,NA,1,1,-1,-1,-1,1,1
"246","","DSRCP v6","IR 139127-10-1-B RGA-B RGA-3",2022,"WS",27,78,107,3906,NA,NA,56.84,NA,NA,1,1,-1,-1,-1,1,1
"247","","DSRCP v6","IR 139128-14-1-B RGA-B RGA-5",2022,"WS",27,77,108,3938,NA,NA,58.68,NA,NA,1,1,-1,-1,-1,1,1
"248","","DSRCP v6","IR 125460-B-3-B RGA-B RGA-5",2022,"WS",24,78,109,3925,NA,NA,55.02,NA,-1,1,-1,-1,1,-1,1,1
"249","","DSRCP v6","IR 125458-B-3-B RGA-B RGA-4",2022,"WS",24,81,115,3948,NA,NA,55.53,NA,-1,NA,-1,NA,1,-1,1,1
"250","","DSRCP v6","IR 125458-B-3-B RGA-B RGA-5",2022,"WS",24,80,112,3940,NA,NA,56.89,NA,-1,-1,-1,-1,1,-1,1,1
"251","","DSRCP v6","IR 125460-B-3-B RGA-B RGA-3",2022,"WS",24,78,109,3910,NA,NA,54.3,NA,-1,1,-1,-1,1,-1,1,1
"252","","DSRCP v6","IR 125458-B-3-B RGA-B RGA-3",2022,"WS",24,81,115,3962,NA,NA,56.62,NA,-1,-1,-1,NA,1,-1,1,1
"253","","DSRCP v6","IR 125464-B-12-B RGA-B RGA-4",2022,"WS",24,75,108,3914,NA,NA,51.63,NA,NA,-1,-1,1,1,-1,1,1
"254","","DSRCP v6","IR 125489-B-20-B RGA-B RGA-1",2022,"WS",24,80,116,3961,NA,NA,48.65,NA,-1,1,-1,1,1,-1,1,-1
"255","","DSRCP v6","IR 125489-B-20-B RGA-B RGA-2",2022,"WS",24,80,115,3912,NA,NA,48.13,NA,-1,1,-1,1,1,-1,1,-1
"256","","DSRCP v6","IR 125489-B-20-B RGA-B RGA-3",2022,"WS",24,80,115,3968,NA,NA,48.47,NA,-1,1,-1,1,1,-1,1,-1
"257","","DSRCP v6","IR 125489-B-20-B RGA-B RGA-4",2022,"WS",24,80,114,3893,NA,NA,48.32,NA,-1,1,-1,1,1,-1,1,-1
"258","","DSRCP v6","IR 125489-B-17-B RGA-B RGA-3",2022,"WS",24,80,116,3861,NA,NA,52.6,NA,-1,1,-1,1,1,-1,1,-1
"259","","DSRCP v6","IR 125489-B-17-B RGA-B RGA-4",2022,"WS",24,82,117,3841,NA,NA,50.78,NA,-1,1,-1,1,1,-1,1,-1
"260","","DSRCP v6","IR 125490-B-2-B RGA-B RGA-2",2022,"WS",25,79,111,3935,NA,NA,54.25,NA,NA,0,-1,NA,1,-1,0,1
"261","","DSRCP v6","IR 125490-B-13-B RGA-B RGA-4",2022,"WS",25,87,117,3821,NA,NA,48.51,NA,NA,1,-1,1,-1,-1,-1,1
"262","","DSRCP v6","IR 137194-30-2-B RGA-B RGA-3",2022,"WS",26,77,111,3943,NA,NA,59.03,NA,NA,1,1,-1,-1,-1,1,1
"263","","DSRCP v6","IR 137193-39-1-B RGA-B RGA-1",2022,"WS",26,77,109,3952,NA,NA,58.33,NA,NA,1,1,-1,-1,-1,1,1
"264","","DSRCP v6","IR 137194-27-2-B RGA-B RGA-4",2022,"WS",27,77,106,3925,NA,NA,59.49,NA,NA,1,1,-1,-1,-1,1,1
"265","","DSRCP v6","IR 139101-30-1-B RGA-B RGA-2",2022,"WS",26,76,113,3883,NA,NA,55.01,NA,-1,NA,1,-1,-1,-1,1,1
"266","","DSRCP v6","IR 125494-B-10-B RGA-B RGA-3",2022,"WS",25,76,110,3938,NA,NA,56.87,NA,NA,NA,-1,1,-1,-1,1,1
"267","","DSRCP v6","IR 125494-B-19-B RGA-B RGA-4",2022,"WS",26,79,113,3859,NA,NA,55.54,NA,NA,NA,-1,1,0,-1,1,1
"268","","DSRCP v6","IR 125494-B-20-B RGA-B RGA-1",2022,"WS",25,80,112,3915,NA,NA,56.06,NA,NA,1,-1,1,1,-1,1,1
