"","Maturity.duration","Group","gid","YEAR","SEASON","CANOPY","DTF","HT","GYKGPHA","normal.seeding..Emergence_7DAS","normal.seeding..Emergence_14DAS","PERCENT_HEAD_RICE","Zn.RESULT..mg.kg.","qAG1","qAG3","qDTY12.1","qSub1","Pita","xa5","STV11"
"108","Early","DSRCP v1","IR19L1030",2022,"DS",45,78,105,6758,78,82,51,10.1,-1,NA,-1,NA,NA,-1,1
"109","Early","DSRCP v1","IR19L1050",2022,"DS",46,80,106,6850,82,86,55.8,9.5,-1,NA,-1,-1,NA,-1,1
"110","Mid-Early","DSRCP v1","IR19L1054",2022,"DS",49,77,111,6979,79,82,54,15.2,-1,NA,-1,-1,NA,-1,1
"111","Mid-Early","DSRCP v1","IR19L1056",2022,"DS",46,79,105,6898,80,85,51.9,15.6,-1,NA,-1,-1,NA,-1,1
"112","Early","DSRCP v1","IR19L1058",2022,"DS",46,77,108,6926,81,87,42.5,10.4,-1,NA,-1,NA,NA,-1,1
"113","Early","DSRCP v1","IRRI 200",2022,"DS",46,75,106,6915,74,83,50.6,13.4,-1,NA,-1,NA,NA,1,1
"114","Mid-Early","DSRCP v1","IRRI 205",2022,"DS",46,78,111,6997,80,83,43.8,9.4,-1,NA,1,-1,NA,-1,1
"115","Mid-early","DSRCP v2","IR 111921-B-B-46-2-2-1",2022,"WS",24,82,117,3774,82,87,67.2,16.8,NA,-1,-1,NA,1,1,1
"116","Mid-early","DSRCP v2","IR 111922-B-B-17-2-2-3",2022,"WS",25,79,112,3774,79,82,52.8,14.4,NA,-1,1,NA,1,-1,1
"117","Mid-early","DSRCP v2","IR 111922-B-B-17-2-3-3",2022,"WS",25,79,112,3818,83,87,60.4,16.3,NA,-1,1,NA,1,-1,1
"118","Early","DSRCP v2","IR 111922-B-B-52-2-2-1",2022,"WS",24,76,109,3985,86,88,65.7,16.4,NA,-1,1,NA,1,-1,1
"119","Mid-early","DSRCP v2","IR 111940-B-B-14-1-1-1",2022,"WS",24,77,115,3740,84,89,49.4,15.4,NA,-1,-1,NA,1,-1,1
"120","Mid-early","DSRCP v2","IR 111940-B-B-14-1-3-1",2022,"WS",24,75,115,3804,83,85,42.7,16.7,NA,-1,-1,NA,1,-1,1
"121","Mid-early","DSRCP v2","IR 111940-B-B-16-1-1-1",2022,"WS",24,78,117,3836,85,88,47.1,15.2,NA,-1,-1,NA,1,-1,1
"122","Early","DSRCP v2","IR 111940-B-B-4-3-2-1",2022,"WS",25,76,113,3943,88,86,45.9,16.2,NA,-1,-1,NA,1,-1,1
"123","Early","DSRCP v2","IR 111940-B-B-4-3-2-3",2022,"WS",25,76,113,3941,NA,NA,44.4,12.6,NA,-1,-1,NA,1,-1,1
"124","Mid-Early","DSRCP v4","IR 116687-B-B-32-1-3 RGA",2022,"WS",24,80,111,4003,NA,NA,56.01,NA,NA,-1,1,NA,1,-1,1
"125","Early","DSRCP v4","IR 116687-B-B-39-1-1 RGA",2022,"WS",25,76,108,3998,NA,NA,49.8,NA,NA,-1,-1,NA,1,1,-1
